index,fullpathname,classname,library,label,layer_number
107,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\Responses.java,Responses,k9mail-library,Information Holder,3.4.
108,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\SearchResponse.java,SearchResponse,k9mail-library,Structurer,3.4.
109,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\SelectOrExamineResponse.java,SelectOrExamineResponse,k9mail-library,Service Provider,3.2.2.
110,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\UidCopyResponse.java,UidCopyResponse,k9mail-library,Service Provider,3.2.2.
111,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\UidSearchCommandBuilder.java,UidSearchCommandBuilder,k9mail-library,Information Holder,3.4.
112,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\store\imap\UntaggedHandler.java,UntaggedHandler,k9mail-library,Service Provider,3.2.2.
113,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\DefaultTrustedSocketFactory.java,DefaultTrustedSocketFactory,k9mail-library,Structurer,3.3.
114,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\KeyChainKeyManager.java,KeyChainKeyManager,k9mail-library,Service Provider,3.3.
115,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\LocalKeyStore.LocalKeyStoreHolder.java,LocalKeyStoreHolder,k9mail-library,Information Holder,3.4.
116,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\LocalKeyStore.java,LocalKeyStore,k9mail-library,Information Holder,3.4.
117,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\TrustManagerFactory.SecureX509TrustManager.java,SecureX509TrustManager,k9mail-library,Service Provider,3.3.
118,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\TrustManagerFactory.java,TrustManagerFactory,k9mail-library,Service Provider,3.3.
119,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\ssl\TrustedSocketFactory.java,TrustedSocketFactory,k9mail-library,Service Provider,3.3.
120,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\power\TracingPowerManager.TracingWakeLock.java,TracingWakeLock,k9mail-library,Service Provider,3.3.
121,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\power\TracingPowerManager.java,TracingPowerManager,k9mail-library,Service Provider,3.3.
122,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\oauth\AuthorizationException.java,AuthorizationException,k9mail-library,Information Holder,3.4.
123,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\oauth\OAuth2TokenProvider.OAuth2TokenProviderAuthCallback.java,OAuth2TokenProviderAuthCallback,k9mail-library,Information Holder,3.4.
124,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\oauth\OAuth2TokenProvider.java,OAuth2TokenProvider,k9mail-library,Service Provider,3.3.
125,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\oauth\XOAuth2ChallengeParser.java,XOAuth2ChallengeParser,k9mail-library,Coordinator,3.3.
126,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\message\MessageHeaderParser.MessageHeaderParserContentHandler.java,MessageHeaderParserContentHandler,k9mail-library,Structurer,3.3.
127,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\message\MessageHeaderParser.java,MessageHeaderParser,k9mail-library,Service Provider,3.3.
128,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\BinaryTempFileBody.BinaryTempFileBodyInputStream.java,BinaryTempFileBodyInputStream,k9mail-library,Service Provider,3.3.
129,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\BinaryTempFileBody.java,BinaryTempFileBody,k9mail-library,Information Holder,3.4.
130,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\BinaryTempFileMessageBody.java,BinaryTempFileMessageBody,k9mail-library,Information Holder,3.4.
131,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\CharsetSupport.java,CharsetSupport,k9mail-library,Service Provider,3.2.3.
132,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\DecoderUtil.EncodedWord.java,EncodedWord,k9mail-library,Information Holder,3.4.
133,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\DecoderUtil.java,DecoderUtil,k9mail-library,Service Provider,3.2.3.
134,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\EncoderUtil.Encoding.java,Encoding,k9mail-library,Information Holder,3.4.
135,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\EncoderUtil.java,EncoderUtil,k9mail-library,Service Provider,3.2.3.
136,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\FlowedMessageUtils.java,FlowedMessageUtils,k9mail-library,Service Provider,3.2.3.
137,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Iso2022JpToShiftJisInputStream.Charset.java,Charset,k9mail-library,Information Holder,3.4.
138,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Iso2022JpToShiftJisInputStream.java,Iso2022JpToShiftJisInputStream,k9mail-library,Service Provider,3.2.3.
139,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\JisSupport.java,JisSupport,k9mail-library,Service Provider,3.2.3.
140,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\ListHeaders.java,ListHeaders,k9mail-library,Service Provider,3.2.3.
141,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MessageExtractor.java,MessageExtractor,k9mail-library,Service Provider,3.2.3.
142,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MessageIdGenerator.java,MessageIdGenerator,k9mail-library,Coordinator,3.2.3.
143,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeBodyPart.java,MimeBodyPart,k9mail-library,Structurer,3.4.
144,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeHeader.Field.java,Field,k9mail-library,Information Holder,3.4.
145,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeHeader.java,MimeHeader,k9mail-library,Structurer,3.4.
146,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeMessage.MimeMessageBuilder.java,MimeMessageBuilder,k9mail-library,Structurer,3.4.
147,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeMessage.java,MimeMessage,k9mail-library,Coordinator,3.2.3.
148,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeMessageHelper.java,MimeMessageHelper,k9mail-library,Service Provider,3.2.3.
149,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeMultipart.java,MimeMultipart,k9mail-library,Information Holder,3.4.
150,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\MimeUtility.java,MimeUtility,k9mail-library,Service Provider,3.2.3.
151,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\RawDataBody.java,RawDataBody,k9mail-library,Service Provider,3.2.3.
152,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\SizeAware.java,SizeAware,k9mail-library,Service Provider,3.2.3.
153,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\TextBody.java,TextBody,k9mail-library,Information Holder,3.4.
154,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.Alternative.java,Alternative,k9mail-library,Information Holder,3.4.
155,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.Flowed.java,Flowed,k9mail-library,Information Holder,3.4.
156,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.Html.java,Html,k9mail-library,Information Holder,3.4.
157,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.MessageHeader.java,MessageHeader,k9mail-library,Information Holder,3.4.
158,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.Text.java,Text,k9mail-library,Information Holder,3.4.
159,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.Textual.java,Textual,k9mail-library,Information Holder,3.4.
160,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\internet\Viewable.java,Viewable,k9mail-library,Information Holder,3.4.
